date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:39	101166/101166	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/cust_customer_list.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/cust_customer_list.html	(from )
14:26:40	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Apr%202024%2007:26:40%20GMT	https://ableproadmin.com/robots.txt		(from )
14:26:40	411/411	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-19b%22	https://ableproadmin.com/assets/fonts/inter/inter.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/fonts/inter/inter.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:40	61675/61675	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-f0eb%22	https://ableproadmin.com/assets/fonts/tabler-icons.min.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/fonts/tabler-icons.min.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:40	13771/13771	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-35cb%22	https://ableproadmin.com/assets/fonts/feather.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/fonts/feather.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:40	66175/66175	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-1027f%22	https://ableproadmin.com/assets/fonts/fontawesome.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/fonts/fontawesome.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:41	538/538	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-21a%22	https://ableproadmin.com/assets/fonts/material.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/fonts/material.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:41	2929876/2929876	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-2cb4d4%22	https://ableproadmin.com/assets/css/style.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/css/style.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:41	712069/712069	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2ec2d-add85%22	https://ableproadmin.com/assets/css/style-preset.css	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/css/style-preset.css	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:42	134286/134286	---MCZ	200	added ('OK')	text/javascript	etag:W/%2234948f1ef67a6bfdbaf69e9c1450380a%22	https://pt.wisernotify.com/pixel.js?ti=1jclj6jkfc4hhry	D:/dev/web_travel/public/dsfdsfsdfd/pt.wisernotify.com/pixel6d4c.js	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:42	9990/9990	---M--	200	added ('OK')	image/jpeg	etag:%2265e2ec2d-2706%22	https://ableproadmin.com/assets/images/user/avatar-1.jpg	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/assets/images/user/avatar-1.jpg	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:42	75516/75516	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/calendar.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/calendar.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:43	119885/119885	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/chat.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/chat.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:43	103427/103427	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/ecom_product.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/ecom_product.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:43	109747/109747	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/ecom_product-details.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/ecom_product-details.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:44	126927/126927	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/ecom_product-list.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/ecom_product-list.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:44	72109/72109	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/ecom_product-add.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/ecom_product-add.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:44	130060/130060	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/ecom_checkout.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/ecom_checkout.html	(from https://ableproadmin.com/application/cust_customer_list.html)
14:26:45	160261/160261	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202024%2009:06:53%20GMT	https://ableproadmin.com/application/file-manager.html	D:/dev/web_travel/public/dsfdsfsdfd/ableproadmin.com/application/file-manager.html	(from https://ableproadmin.com/application/cust_customer_list.html)
